"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 12 15:31:13 GMT 2024","Fri Jul 12 15:31:13 GMT 2024","1","SampleTest","Command line test","SampleTest","SampleTest","positiveTest","positiveTest",""
"failed","Fri Jul 12 15:31:13 GMT 2024","Fri Jul 12 15:31:13 GMT 2024","8","SampleTest","Command line test","SampleTest","SampleTest","failedTest","failedTest",""
