"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 12 15:13:09 GMT 2024","Fri Jul 12 15:13:09 GMT 2024","10","SampleTest","Command line test","SampleTest","SampleTest","failedTest","failedTest",""
"passed","Fri Jul 12 15:13:09 GMT 2024","Fri Jul 12 15:13:09 GMT 2024","0","SampleTest","Command line test","SampleTest","SampleTest","positiveTest","positiveTest",""
